id,n,strike,dip,flat,lat_c,lon_c
738,35,175.7330593015687,21.081660585397884,0.14075738690197373,35.6938,129.3721
1218,26,23.472913519121647,20.228824159668925,0.7287503763583326,35.7137,129.3537
1115,20,14.430098674014332,24.700727200528803,0.36602290887207406,35.7408,129.4158
1058,20,149.10656698584836,33.58246276840316,0.1752547487474968,35.8074,129.4356
969,19,102.40556106903716,59.91499697523431,0.3266187462257506,35.7879,129.4186
1215,17,155.34739417617232,63.62773079014566,0.46893568743217645,35.7093,129.3505
1324,15,8.946294770437646,67.73917528957915,0.6277747807110282,35.7284,129.4034
1086,14,53.59382682542457,81.08954120569702,0.18472203030517167,35.7667,129.3788
1057,13,161.1526436153411,21.049597184658698,0.1158365368169471,35.8077,129.4363
1194,13,50.20559668352146,18.96258665574028,0.3232718746329965,35.758,129.3839
426,10,165.93236184591396,44.84796526817478,0.17832702236052922,35.7756,129.3151
939,10,10.197086879886825,25.446895459917258,0.16018726314070114,35.7175,129.4007
1022,8,162.60345501195965,45.251030161978214,0.22184963550578737,35.7232,129.3678
1180,8,83.94991519698118,8.571129526219481,0.7131590945675159,35.7133,129.3824
856,8,130.0638496747942,12.770134686488184,0.5554253193675336,35.8145,129.3778
1024,8,158.4190499876428,36.214173140157136,0.14279432254497254,35.7245,129.3688
1185,8,74.27234499211409,18.230217496533466,0.13215608310893684,35.7526,129.3854
1203,8,135.84284693517253,52.890045766784496,0.2854172931600987,35.7097,129.3558
936,8,30.56536898148825,28.7780966255619,0.13408874693952308,35.7092,129.4053
776,8,89.87027512488635,9.300997152383715,0.4243373485541037,35.825,129.4092
1038,7,77.52443221744954,46.93876030985287,0.27415730832243546,35.732,129.4077
1171,6,27.385343089256907,6.614633654669055,0.27103761784791525,35.751,129.4032
929,6,53.87597210053758,41.24723363348786,0.23444789648753844,35.8182,129.3902
1437,6,175.82946969118356,83.74307617866143,0.08138671683142491,35.7221,129.3857
953,6,156.36254952850766,56.33956753939833,0.2678893202106263,35.7841,129.3155
1255,6,125.04120071853339,87.99396179476271,0.9239016421460822,35.7941,129.3779
613,6,104.18121399294498,32.979151132888944,0.45291509315082923,35.7349,129.3015
583,6,138.7579615930112,37.65036235118499,0.12412343453281116,35.722,129.3662
886,6,11.463976904876972,68.70867281654444,0.10132318940057103,35.7273,129.3523
1145,6,57.43458496835592,53.63056125911749,0.5628716725391388,35.7647,129.3755
1040,6,170.80361491666116,17.99171830697741,0.5965403554241886,35.7098,129.4028
690,6,55.817539032471416,50.849329323331645,0.41735851065571394,35.7481,129.2956
1098,5,79.94787305754244,83.63602846308068,0.49940793332890043,35.8002,129.4597
1208,5,101.88337463789176,79.09202560340755,0.6633344561087525,35.709,129.353
1112,5,121.89030332671632,42.46031456464258,0.16323767956350216,35.7512,129.4127
1376,5,148.16192120300482,21.105114182454546,0.3480933747351064,35.7218,129.4031
412,5,62.29833433190902,26.93480222518658,0.4596483083038377,35.7085,129.4047
809,5,161.7479773804326,21.30503155323209,0.13025860651972873,35.8017,129.414
1079,5,31.002250452505677,56.5187695641949,0.617214628438222,35.8196,129.4028
125,5,12.962496101768266,49.26958516418872,0.2074818573371809,35.803,129.2707
1327,4,12.298135299112644,72.56754835337946,0.4788044149028575,35.7093,129.3687
711,4,104.58170514070767,38.27352308292305,0.0646552078296677,35.6873,129.365
803,4,169.2773100988261,54.5848746612335,0.19476221131452334,35.7986,129.4112
732,4,172.03657411855107,60.060753286056,0.3177752279365715,35.6917,129.3723
785,4,109.76098462045593,78.16313846083824,0.27610223009603235,35.637,129.3767
321,4,95.5679967341369,29.318481297499797,0.23282145259791356,35.8216,129.4168
566,4,63.68339866391915,64.82040074624791,0.30550127969016383,35.8332,129.4062
515,4,69.93137266351414,23.767007383494963,0.22767141217116588,35.6971,129.404
71,4,175.23919356974596,79.62463955502754,0.3285633659400701,35.7857,129.3032
257,4,126.31910138785148,28.943508471565295,0.000537968591128864,35.6656,129.533
306,4,116.44657946780981,82.71742505311964,0.3326214554916754,35.822,129.4184
1178,4,89.53224860628086,42.7335853630064,0.2493533030414482,35.6947,129.3763
1174,4,176.19215044972464,74.37354168666585,0.13482787062662066,35.7003,129.3589
1334,4,129.32285586755924,35.86653653566351,0.06673882491658695,35.7157,129.3692
1121,4,173.41030428051803,13.831407777153506,0.019868807224308397,35.7278,129.4103
1107,4,82.20235704894043,43.708560451124555,0.06699858236918947,35.756,129.4072
1142,4,145.42703704007835,25.354810667902203,0.03643417216487523,35.7178,129.3638
1217,4,141.69353841011588,30.140181468971335,0.09874149086482449,35.7146,129.3532
1201,4,56.119949623051525,79.95307465767927,0.026934700534891994,35.7106,129.3551
804,4,6.352755559832815,17.42898225105873,0.07311647811647803,35.7983,129.4124
1132,4,60.248882520057975,64.19434085877458,0.09398519321245642,35.7868,129.3672
