family,n_events,n_pairs,n_obs,n_sta,az_gap,vpvs,mad,poisson,corr,rmse,out_frac,vpvs_ols,lat,lon,dep_med,t_first,t_last,status,note
738,35,18,58,5,127.0,1.5297,0.0334,0.1268,0.974,0.0021,0.0,1.5249,35.6938,129.3721,10.55,20161117,20170311,ok,
1218,30,29,123,15,92.0,1.6364,0.0249,0.202,0.985,0.0014,0.049,1.5902,35.7137,129.3537,9.57,20190801,20220909,ok,
1115,21,103,526,20,149.0,1.6624,0.0277,0.2165,0.951,0.0021,0.038,1.6546,35.7408,129.4158,13.19,20190320,20240119,ok,
1215,21,11,43,8,142.0,1.4818,0.0725,0.0818,0.915,0.0015,0.0,1.4963,35.7093,129.3505,8.61,20191204,20210827,ok,
1058,20,86,398,17,179.0,1.4638,0.0421,0.0625,0.861,0.0019,0.018,1.4286,35.8074,129.4356,14.41,20210818,20220430,ok,moderate coherence (corr 0.86)
969,19,48,287,20,148.0,1.3256,0.0702,-0.1604,0.744,0.0025,0.0,1.3319,35.7879,129.4186,12.43,20230907,20231129,ok,moderate coherence (corr 0.74); Vp/Vs < √2: negative Poisson (physical: dry cracks / quartz-rich rock)
1324,15,32,97,5,149.0,1.3551,0.0264,-0.0979,0.962,0.0013,0.021,1.3545,35.7284,129.4034,12.07,20140730,20141104,ok,Vp/Vs < √2: negative Poisson (physical: dry cracks / quartz-rich rock)
1086,15,33,219,19,122.0,1.4779,0.0395,0.0778,0.914,0.0019,0.005,1.4919,35.7667,129.3788,9.63,20200317,20200801,ok,
1057,13,58,265,13,179.0,1.4628,0.0204,0.0613,0.95,0.0011,0.015,1.4422,35.8077,129.4363,14.57,20210607,20211018,ok,
1194,13,2,6,4,150.0,,,,,,,,35.758,129.3839,11.93,20230331,20240110,under_determined,2 qualifying pairs < 10
426,10,16,82,12,86.0,1.7717,0.0339,0.2663,0.947,0.002,0.024,1.7331,35.7756,129.3151,8.95,20191116,20230528,ok,
1022,10,5,19,5,157.0,,,,,,,,35.7232,129.3678,9.88,20190714,20240427,under_determined,5 qualifying pairs < 10
939,10,44,219,13,147.0,1.4398,0.0275,0.0341,0.966,0.0011,0.009,1.4321,35.7175,129.4007,12.96,20210104,20210116,ok,
1180,9,14,48,6,246.0,1.39,0.0576,-0.0364,0.878,0.0013,0.042,1.3925,35.7133,129.3824,12.59,20230331,20230629,ok,"moderate coherence (corr 0.88); azimuthal gap 246°: one-sided coverage, directional (narrow ray cone); Vp/Vs < √2: negative Poisson (physical: dry cracks / quartz-rich rock)"
1024,9,13,50,13,133.0,1.4682,0.0375,0.0673,0.974,0.0011,0.1,1.5379,35.7245,129.3688,10.05,20191219,20231203,ok,
1185,9,3,14,6,149.0,,,,,,,,35.7526,129.3854,11.76,20221017,20230104,under_determined,3 qualifying pairs < 10
856,9,13,63,12,119.0,1.2848,0.1191,-0.2683,0.895,0.0021,0.016,1.3634,35.8145,129.3778,11.14,20220529,20240112,ok,moderate coherence (corr 0.90); Vp/Vs < √2: negative Poisson (physical: dry cracks / quartz-rich rock)
776,8,14,68,10,148.0,1.6128,0.039,0.1877,0.968,0.0012,0.015,1.6132,35.825,129.4092,14.11,20200416,20200421,ok,
1203,8,0,0,0,360.0,,,,,,,,35.7097,129.3558,9.73,20190318,20230826,under_determined,0 qualifying pairs < 10
936,8,25,112,10,139.0,1.4541,0.0603,0.0513,0.935,0.0011,0.018,1.3912,35.7092,129.4053,12.9,20191028,20191029,ok,
1171,7,5,19,6,182.0,,,,,,,,35.751,129.4032,12.36,20190909,20190910,under_determined,5 qualifying pairs < 10
1437,7,0,0,0,360.0,,,,,,,,35.7221,129.3857,12.5,20101205,20111119,under_determined,0 qualifying pairs < 10
953,7,10,40,8,188.0,1.641,0.0535,0.2046,0.955,0.001,0.075,1.6793,35.7841,129.3155,9.14,20190920,20231216,ok,"azimuthal gap 188°: one-sided coverage, directional (narrow ray cone)"
929,7,15,67,10,184.0,1.0383,0.1163,-5.9076,0.778,0.001,0.06,0.9982,35.8182,129.3902,10.69,20191202,20191206,ok,"moderate coherence (corr 0.78); azimuthal gap 184°: one-sided coverage, directional (narrow ray cone); Vp/Vs < √2: negative Poisson (physical: dry cracks / quartz-rich rock)"
1038,7,8,38,8,179.0,,,,,,,,35.732,129.4077,12.14,20190610,20190611,under_determined,8 qualifying pairs < 10
1255,7,12,64,15,85.0,1.2166,0.1564,-0.5412,0.831,0.0011,0.0,1.214,35.7941,129.3779,11.64,20241009,20241028,ok,moderate coherence (corr 0.83); Vp/Vs < √2: negative Poisson (physical: dry cracks / quartz-rich rock)
1040,6,7,33,9,164.0,,,,,,,,35.7098,129.4028,12.73,20220227,20230702,under_determined,7 qualifying pairs < 10
1145,6,0,0,0,360.0,,,,,,,,35.7647,129.3755,12.12,20240721,20240721,under_determined,0 qualifying pairs < 10
613,6,10,40,7,121.0,0.9493,0.0407,,0.887,0.0009,0.0,0.9651,35.7349,129.3015,11.47,20240315,20240316,unphysical,Vp/Vs=0.95 ≤ 1
886,6,7,32,8,105.0,,,,,,,,35.7273,129.3523,9.43,20200322,20200330,under_determined,7 qualifying pairs < 10
583,6,6,18,3,209.0,,,,,,,,35.722,129.3662,10.03,20161116,20170119,under_determined,6 qualifying pairs < 10
690,6,0,0,0,360.0,,,,,,,,35.7481,129.2956,9.15,20170429,20170513,under_determined,0 qualifying pairs < 10
125,5,10,99,17,58.0,1.2873,0.0596,-0.2608,0.912,0.0011,0.02,1.3095,35.803,129.2707,7.67,20201025,20201026,ok,Vp/Vs < √2: negative Poisson (physical: dry cracks / quartz-rich rock)
412,5,9,35,8,179.0,,,,,,,,35.7085,129.4047,12.9,20180420,20180422,under_determined,9 qualifying pairs < 10
809,5,3,10,4,147.0,,,,,,,,35.8017,129.414,14.15,20140921,20140927,under_determined,3 qualifying pairs < 10
711,5,3,9,3,142.0,,,,,,,,35.6873,129.365,10.61,20140919,20140920,under_determined,3 qualifying pairs < 10
1098,5,1,4,4,311.0,,,,,,,,35.8002,129.4597,9.59,20220705,20230831,under_determined,1 qualifying pairs < 10
1079,5,4,14,4,306.0,,,,,,,,35.8196,129.4028,13.31,20200416,20200418,under_determined,4 qualifying pairs < 10
1112,5,2,7,4,238.0,,,,,,,,35.7512,129.4127,12.72,20200218,20200218,under_determined,2 qualifying pairs < 10
1208,5,4,22,13,79.0,,,,,,,,35.709,129.353,9.56,20221224,20240510,under_determined,4 qualifying pairs < 10
1327,5,0,0,0,360.0,,,,,,,,35.7093,129.3687,9.42,20130316,20130929,under_determined,0 qualifying pairs < 10
1376,5,5,37,13,139.0,,,,,,,,35.7218,129.4031,12.92,20190123,20190126,under_determined,5 qualifying pairs < 10
